r,t,firstResult,secondResult,thirdResult
1,1,19,19,22
2,1,41,40,48
3,1,75,70,92
5,1,200,188,229
7,1,366,314,410
10,1,634,577,818
20,1,2418,2140,2893
1,2,12,11,13
2,2,23,22,27
3,2,41,39,50
5,2,97,98,110
7,2,175,157,207
10,2,364,300,466
20,2,1240,1098,1493
1,3,9,9,12
2,3,20,25,26
3,3,28,27,34
5,3,82,61,75
7,3,126,113,143
10,3,219,200,308
20,3,963,748,1067
1,5,11,10,11
2,5,17,18,18
3,5,33,28,33
5,5,65,52,69
7,5,107,110,118
10,5,210,176,234
20,5,711,649,857
1,7,10,9,9
2,7,16,15,16
3,7,24,23,28
5,7,56,51,71
7,7,96,89,105
10,7,188,157,202
20,7,644,545,691
1,15,9,10,10
2,15,16,15,17
3,15,29,26,27
5,15,53,47,59
7,15,93,80,111
10,15,183,156,205
20,15,627,545,756
1,35,10,12,12
2,35,16,19,20
3,35,27,27,30
5,35,54,53,67
7,35,93,97,113
10,35,183,190,233
20,35,712,632,861
1,55,12,15,14
2,55,26,20,22
3,55,27,31,37
5,55,63,62,73
7,55,117,104,145
10,55,197,197,280
20,55,782,701,989
1,100,15,18,21
2,100,23,24,26
3,100,34,35,41
5,100,73,70,86
7,100,129,122,151
10,100,230,221,325
20,100,883,797,1067
