Script,Image Size,Radius,Mean Time
./run_open_cl.sh,512,2,8.00
./run_open_cl.sh,512,5,8.00
./run_open_cl.sh,512,10,10.00
./run_open_cl.sh,512,20,10.00
./run_open_cl.sh,1024,2,9.00
./run_open_cl.sh,1024,5,10.00
./run_open_cl.sh,1024,10,8.00
./run_open_cl.sh,1024,20,36.00
./run_open_cl.sh,2048,2,21.00
./run_open_cl.sh,2048,5,28.00
./run_open_cl.sh,2048,10,45.00
./run_open_cl.sh,2048,20,137.00
./run_open_cl.sh,4096,2,42.00
./run_open_cl.sh,4096,5,86.00
./run_open_cl.sh,4096,10,180.00
./run_open_cl.sh,4096,20,480.00
./run_open_mp.sh,512,2,15.00
./run_open_mp.sh,512,5,53.00
./run_open_mp.sh,512,10,132.00
./run_open_mp.sh,512,20,477.00
./run_open_mp.sh,1024,2,50.00
./run_open_mp.sh,1024,5,169.00
./run_open_mp.sh,1024,10,508.00
./run_open_mp.sh,1024,20,1914.00
./run_open_mp.sh,2048,2,191.00
./run_open_mp.sh,2048,5,618.00
./run_open_mp.sh,2048,10,2083.00
./run_open_mp.sh,2048,20,7510.00
./run_open_mp.sh,4096,2,753.00
./run_open_mp.sh,4096,5,2612.00
./run_open_mp.sh,4096,10,8376.00
./run_open_mp.sh,4096,20,32404.00
